Problema, n, K, m, Iter, |LRC|, iterations with improvement, z, S, CPU
input/max_div_20_3.txt, 20, 3, 2, 20, 3, false, 11.8003, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) , 0.005748 seconds
input/max_div_20_3.txt, 20, 3, 2, 20, 3, true, 11.8003, (9.810000  2.050000  1.830000) (0.650000  3.760000  9.070000) , 0.007003 seconds
input/max_div_20_3.txt, 20, 3, 3, 10, 2, false, 30.8727, (9.810000  2.050000  1.830000) (8.870000  9.560000  5.340000) (0.650000  3.760000  9.070000) , 0.005043 seconds
input/max_div_20_3.txt, 20, 3, 3, 10, 2, true, 30.8727, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) (8.870000  9.560000  5.340000) , 0.004491 seconds
input/max_div_20_3.txt, 20, 3, 3, 10, 3, false, 30.8727, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) (8.870000  9.560000  5.340000) , 0.005369 seconds
input/max_div_20_3.txt, 20, 3, 3, 10, 3, true, 30.8727, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) (8.870000  9.560000  5.340000) , 0.006080 seconds
input/max_div_20_3.txt, 20, 3, 3, 20, 2, false, 30.8727, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) (8.870000  9.560000  5.340000) , 0.010145 seconds
input/max_div_20_3.txt, 20, 3, 3, 20, 2, true, 30.8727, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) (8.870000  9.560000  5.340000) , 0.010300 seconds
input/max_div_20_3.txt, 20, 3, 3, 20, 3, false, 30.8727, (9.810000  2.050000  1.830000) (8.870000  9.560000  5.340000) (0.650000  3.760000  9.070000) , 0.011488 seconds
input/max_div_20_3.txt, 20, 3, 3, 20, 3, true, 30.8727, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) (8.870000  9.560000  5.340000) , 0.012150 seconds
input/max_div_20_3.txt, 20, 3, 4, 10, 2, false, 56.6903, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) (9.600000  2.020000  9.000000) (0.830000  7.060000  3.340000) , 0.010909 seconds
input/max_div_20_3.txt, 20, 3, 4, 10, 2, true, 56.6903, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) (9.600000  2.020000  9.000000) (0.830000  7.060000  3.340000) , 0.018202 seconds
input/max_div_20_3.txt, 20, 3, 4, 10, 3, false, 56.6903, (0.650000  3.760000  9.070000) (9.600000  2.020000  9.000000) (9.810000  2.050000  1.830000) (0.830000  7.060000  3.340000) , 0.014460 seconds
input/max_div_20_3.txt, 20, 3, 4, 10, 3, true, 56.6903, (0.650000  3.760000  9.070000) (9.600000  2.020000  9.000000) (9.810000  2.050000  1.830000) (0.830000  7.060000  3.340000) , 0.017773 seconds
input/max_div_20_3.txt, 20, 3, 4, 20, 2, false, 56.6903, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) (9.600000  2.020000  9.000000) (0.830000  7.060000  3.340000) , 0.023574 seconds
input/max_div_20_3.txt, 20, 3, 4, 20, 2, true, 56.6903, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) (9.600000  2.020000  9.000000) (0.830000  7.060000  3.340000) , 0.033081 seconds
input/max_div_20_3.txt, 20, 3, 4, 20, 3, false, 56.6903, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) (9.600000  2.020000  9.000000) (0.830000  7.060000  3.340000) , 0.032952 seconds
input/max_div_20_3.txt, 20, 3, 4, 20, 3, true, 56.6903, (0.650000  3.760000  9.070000) (9.810000  2.050000  1.830000) (9.600000  2.020000  9.000000) (0.830000  7.060000  3.340000) , 0.031605 seconds
